Free Ligand,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,B1,B5,L,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas
L9,65,0.92,-0.308,0.002,6.52,1.61,110.23,24.95,1.88,7.45,3.42,0.523,0.437,-0.414,-0.109,-0.094,-0.467,-0.6,1798,90.35,1760,83.12
L10,64,0.9,-0.31,0.002,6.48,1.7,228.36,33.41,1.9,12.53,4.68,0.518,0.482,-0.433,-0.103,-0.093,-0.466,-0.39,1801,105.89,1761,76.25
L2,88,1.63,-0.308,0.002,6.53,1.36,155.44,32.22,1.92,8.37,4.59,0.548,0.481,-0.429,-0.099,-0.096,-0.469,-0.211,1801,82.79,1759,93.06
L11,66,0.94,-0.305,0.003,6.61,1.35,183.27,25.82,2.64,8.99,5.58,0.52,0.477,-0.421,-0.106,-0.094,-0.468,-0.387,1800,89.19,1761,103.84
L12,89,1.68,-0.307,0.003,6.58,1.34,178.93,31.22,1.92,8.36,5.57,0.548,0.48,-0.428,-0.094,-0.097,-0.47,-0.206,1801,80.86,1759,89.68
L3,90,1.74,-0.303,0,6.61,1.24,251.14,19.97,2.36,9.82,6.46,0.535,0.48,-0.426,-0.098,-0.095,-0.468,-0.204,1796,84.19,1758,100.85
L13,76,1.18,-0.313,0.005,6.49,1.41,147.28,39.18,1.88,8.41,4.58,0.52,0.488,-0.434,-0.098,-0.093,-0.465,-0.241,1806,92.28,1759,109.25
L14,87,1.58,-0.304,0.001,6.59,1.13,215.65,25.34,1.95,9.03,6.69,0.552,0.478,-0.427,-0.095,-0.095,-0.469,-0.205,1795,79.9,1753,83.43
L15,73,1.1,-0.301,-0.004,6.56,1.62,218.12,29.12,2.23,9.41,6.77,0.515,0.484,-0.418,-0.122,-0.088,-0.463,-0.029,1802,92.15,1761,124.03
L1,59,0.8,-0.295,0.002,6.83,1.4,229.75,34.23,1.92,7.67,5.27,0.565,0.493,-0.44,-0.094,-0.099,-0.462,-0.419,1794,67.88,1751,52.18
L16,62,0.86,-0.269,0.004,7.56,0.31,266.74,37.38,1.95,8.03,5.7,0.563,0.494,-0.443,-0.094,-0.099,-0.463,-0.414,1796,67.46,1751,49.04
L17,62,0.86,-0.281,-0.001,7.09,1.72,271.67,28.73,3.57,11.58,5.89,0.521,0.478,-0.421,-0.093,-0.096,-0.466,-0.414,1799,95.69,1758,122.83
L18,57,0.77,-0.279,-0.001,7.13,0.78,354.98,29.5,3.72,13.26,8.26,0.52,0.479,-0.422,-0.092,-0.096,-0.466,-0.412,1800,98.32,1759,128.2
L19,62,0.86,-0.323,-0.006,5.22,7.08,279.79,30.5,3.69,11.73,5.8,0.521,0.481,-0.423,-0.092,-0.096,-0.462,-0.422,1797,98.1,1757,122.22
L20,63,0.88,-0.271,0.005,7.51,1.77,275.09,32.61,3.56,11.46,5.88,0.522,0.479,-0.422,-0.092,-0.098,-0.466,-0.417,1800,90.93,1757,128.51
L21,50,0.65,-0.256,0.004,7.92,2.81,318.48,27.62,4.5,13.22,6.42,0.52,0.478,-0.418,-0.093,-0.096,-0.467,-0.415,1799,93.35,1759,117.22
L22,59,0.8,-0.271,-0.022,6.82,1.55,353.71,22.22,2.99,13.58,5.68,0.525,0.474,-0.415,-0.09,-0.097,-0.467,-0.419,1791,75.33,1755,145.33
L23,64,0.9,-0.259,0.003,7.82,3.69,307.82,25.48,2.26,10.99,8.36,0.518,0.478,-0.413,-0.095,-0.101,-0.467,-0.412,1800,79.69,1762,127.64
L24,55,0.73,-0.272,-0.007,7.19,1.04,328.76,19.86,3.03,10.35,8.84,0.515,0.478,-0.412,-0.1,-0.1,-0.464,-0.419,1798,79.68,1762,159.72
L25,53,0.7,-0.287,-0.006,6.83,1.92,366.63,28.17,1.98,11.27,6.58,0.538,0.495,-0.44,-0.09,-0.092,-0.462,-0.256,1796,88.19,1756,113.94
L6,89,1.68,-0.255,0.007,8.06,3.81,391.2,65.23,3.14,8.81,4.61,0.824,0.403,-0.45,-0.073,-0.223,-0.432,-0.209,1754,127.07,1708,132.98
L7,85,1.49,-0.258,0.008,7.99,3.33,296,67.86,2.07,7.96,4.61,0.772,0.399,-0.433,-0.073,-0.227,-0.429,-0.213,1759,106.56,1710,205.66
L8,75,1.15,-0.273,-0.013,6.97,2.76,321.28,63.33,2.22,7.94,4.6,0.773,0.389,-0.414,-0.074,-0.231,-0.429,-0.215,1761,99.98,1717,181.22
